,sample,tank,type,sq1 - B1,sq2 - B2,sq3 - B3,sq4 - B3,sq5 - B2,sq6 - B3,sq7 - B3,sq8 - B2,sq9 - B3,sq10 - B2,sq11 - B1,sq12 - B1,sq13 - B1,sq14 - B2,sq15 - A3,sq16 - B1,sq17 - B1,sq18 - B1,sq19-B3,sq20-B1,sq21-B2,sq22-B3,sq23-B1,sq24-A4,sq25-B1,sq26-A4a,sq27-A3,sq28-B2,sq29-B1,sq30-B2,sq31-B3,sq32-B3,sq33-B2,sq34-A2,sq35-B2,sq36-B3,sq37-B1,sq38-A3,sq39-A3,sq40-A4.3,sq41-A4.3,sq42-A4.3,sq43-B2,sq44-B1
29,Z12,hostsed,rec,0,133,245,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,103,0,79,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Z13,hostsed,rec,0,0,389,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,181,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
31,Z14,hostsed,rec,83,0,250,534,0,0,0,0,0,0,0,0,0,0,248,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
32,Z15,hostsed,rec,199,132,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Z16,hostsed,rec,130,478,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Z17,hostsed,rec,0,0,0,0,453,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
35,Z2,host,rec,33,71,1011,826,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Z3,sed,rec,15,2006,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
37,Z31,sed,rec,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Z32,sed,rec,0,0,0,0,774,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
39,Z33,sed,rec,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Z34,sed,rec,0,0,0,0,556,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
41,Z35,sed,rec,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,115,0,0,0,0,0,0
